Country,Airlines,Model Series,Region
United States,America West Airlines,A320ceo,North America
Australia,Ansett Australia Ltd,A320ceo,Asia-Pacific
"Korea, Republic Of",Asiana Airlines,A320ceo,Asia-Pacific
Philippines,Asiawide,A320ceo,Asia-Pacific
Faroe Islands,Atlantic Airways,A320ceo,Europe
Austria,Austrian Airlines,A320ceo,Europe
Colombia,Avianca,A320ceo,Latin America & Caribbean
El Salvador,Avianca El Salvador,A320ceo,Latin America & Caribbean
United Kingdom,Avianca Group International Limited,A320ceo,Europe
United States,Aviation Capital Group,A320ceo,North America
Ireland,Avolon,A320ceo,Europe
Ireland,Awas,A320ceo,Europe
Australia,Bbam Aircraft Management Lp,A320ceo,Asia-Pacific
China,Beijing Capital Airlines,A320ceo,Asia-Pacific
United Kingdom,Bmi,A320ceo,Europe
Singapore,Boc Aviation,A320ceo,Asia-Pacific
China,Bocomm Leasing,A320ceo,Asia-Pacific
United States,Boullioun,A320ceo,North America
United Kingdom,British Airways,A320ceo,Europe
China,Calc,A320ceo,Asia-Pacific
Canada,Canadian Airlines International,A320ceo,North America
China,Casc,A320ceo,Asia-Pacific
Hong Kong,Cathay Dragon,A320ceo,Asia-Pacific
China,Cdb Leasing,A320ceo,Asia-Pacific
Philippines,Cebu Pacific,A320ceo,Asia-Pacific
China,Chengdu Airlines,A320ceo,Asia-Pacific
China,China Eastern Airlines,A320ceo,Asia-Pacific
China,China Eastern Xibei Airlines,A320ceo,Asia-Pacific
China,China Express Airlines (Huaxia Airlines),A320ceo,Asia-Pacific
China,China Southern Airlines,A320ceo,Asia-Pacific
Ireland,Cit Leasing,A320ceo,Europe
Germany,Condor Berlin,A320ceo,Europe
Croatia,Croatia Airlines,A320ceo,Europe
Czech Republic,Csa - Czech Airlines,A320ceo,Europe
Cyprus,Cyprus Airways Old,A320ceo,Europe
United Kingdom,Easyjet,A320ceo,Europe
Switzerland,Edelweiss Air,A320ceo,Europe
Egypt,Egyptair,A320ceo,Africa
United Arab Emirates,Etihad Airways,A320ceo,Middle East
Finland,Finnair,A320ceo,Europe
United Kingdom,First Choice Airways,A320ceo,Europe
Switzerland,Flightlease,A320ceo,Europe
United States,Frontier Airlines,A320ceo,North America
Indonesia,Garuda Indonesia,A320ceo,Asia-Pacific
Switzerland,Gatx Flightlease,A320ceo,Europe
United Kingdom,Gb Airways,A320ceo,Europe
Singapore,Global Aircraft Trading,A320ceo,Asia-Pacific
India,Go First,A320ceo,Asia-Pacific
Ireland,Gpa Airbus Ltd,A320ceo,Europe
Bahamas,Grupo Taca,A320ceo,Latin America & Caribbean
Bahrain,Gulf Air,A320ceo,Middle East
China,Hainan Airlines,A320ceo,Asia-Pacific
Hong Kong,Hong Kong Airlines,A320ceo,Asia-Pacific
Spain,Iberia,A320ceo,Europe
China,Icbc,A320ceo,Asia-Pacific
United States,Ilfc,A320ceo,North America
India,Indigo,A320ceo,Asia-Pacific
Mexico,Interjet,A320ceo,Latin America & Caribbean
United Arab Emirates,International Airfinancecorporation,A320ceo,Middle East
United Arab Emirates,International Aviation Investments Trading L,A320ceo,Middle East
"Iran, Islamic Republic Of",Iran Air,A320ceo,Middle East
Israel,Israir,A320ceo,Middle East
United States,Jackson Square Aviation,A320ceo,North America
Kuwait,Jazeera Airways,A320ceo,Middle East
United States,Jetblue Airways,A320ceo,North America
Chile,Jetsmart,A320ceo,Latin America & Caribbean
China,Juneyao Airlines,A320ceo,Asia-Pacific
Japan,Kawasaki Leasing International,A320ceo,Asia-Pacific
India,Kingfisher Airlines,A320ceo,Asia-Pacific
Kuwait,Kuwait Airways,A320ceo,Middle East
Lao People'S Democratic Republic,Lao Airlines,A320ceo,Asia-Pacific
Brazil,Latam Airlines Brasil,A320ceo,Latin America & Caribbean
Chile,Latam Airlines Group,A320ceo,Latin America & Caribbean
Libya,Libyan Airlines,A320ceo,Africa
Indonesia,Lion Air,A320ceo,Asia-Pacific
China,Loong Air,A320ceo,Asia-Pacific
Egypt,Lotus Air,A320ceo,Africa
Germany,Ltu,A320ceo,Europe
Germany,Lufthansa,A320ceo,Europe
United States,Macquarie Aircraft Leasing Ltd,A320ceo,North America
Mexico,Mexicana,A320ceo,Latin America & Caribbean
Lebanon,Middle East Airlines,A320ceo,Middle East
United Kingdom,Monarch Airlines,A320ceo,Europe
India,Nacil - Indian Airlines,A320ceo,Asia-Pacific
United States,Nas Aviation Services,A320ceo,North America
Nepal,Nepal Airlines,A320ceo,Asia-Pacific
Austria,Niki,A320ceo,Europe
United States,Northwest Airlines,A320ceo,North America
Tunisia,Nouvelair,A320ceo,Africa
Spain,Orbest Orizonia,A320ceo,Europe
Japan,Orix Corporation,A320ceo,Asia-Pacific
Viet Nam,Pacific Airlines,A320ceo,Asia-Pacific
Japan,Peach,A320ceo,Asia-Pacific
Philippines,Philippine Airlines,A320ceo,Asia-Pacific
Australia,Qantas Airways,A320ceo,Asia-Pacific
Qatar,Qatar Airways,A320ceo,Middle East
China,Qingdao Airlines,A320ceo,Asia-Pacific
Jordan,Royal Jordanian,A320ceo,Middle East
Belgium,Sabena,A320ceo,Europe
Saudi Arabia,Saudia,A320ceo,Middle East
Saudi Arabia,Saudigulf Airlines,A320ceo,Middle East
Singapore,Scoot,A320ceo,Asia-Pacific
China,Shenzhen Airlines,A320ceo,Asia-Pacific
Egypt,Shorouk Air,A320ceo,Africa
China,Sichuan Airlines,A320ceo,Asia-Pacific
Singapore,Silkair,A320ceo,Asia-Pacific
Ireland,Smbc Aviation Capital,A320ceo,Europe
South Africa,South African Airways,A320ceo,Africa
Spain,Spanair,A320ceo,Europe
United States,Spirit Airlines,A320ceo,North America
China,Spring Airlines,A320ceo,Asia-Pacific
Sri Lanka,Srilankan Airlines,A320ceo,Asia-Pacific
Japan,Star Flyer,A320ceo,Asia-Pacific
Sudan,Sudan Airways,A320ceo,Africa
Denmark,Sunclass Airlines,A320ceo,Europe
Switzerland,Swiss,A320ceo,Europe
Switzerland,Swissair,A320ceo,Europe
Brazil,Synergy Aerospace Corporation,A320ceo,Latin America & Caribbean
Syrian Arab Republic,Syrianair,A320ceo,Middle East
Portugal,Tap Air Portugal,A320ceo,Europe
Thailand,Thai Airways,A320ceo,Asia-Pacific
Germany,Thomas Cook Ag,A320ceo,Europe
Bermuda,Three Twenty Holdings,A320ceo,Latin America & Caribbean
China,Tibet Airlines,A320ceo,Asia-Pacific
Australia,Tigerair Australia,A320ceo,Asia-Pacific
"Taiwan, Republic Of China",Transasia Airways,A320ceo,Asia-Pacific
Tunisia,Tunisair,A320ceo,Africa
Turkey,Turkish Airlines,A320ceo,Europe
United States,United Airlines,A320ceo,North America
United States,Us Airways,A320ceo,North America
Uzbekistan,Uzbekistan Airways,A320ceo,Europe
Viet Nam,Vietjet Air,A320ceo,Asia-Pacific
United States,Virgin America,A320ceo,North America
Mexico,Viva Aerobus,A320ceo,Latin America & Caribbean
Colombia,Viva Air Colombia,A320ceo,Latin America & Caribbean
Mexico,Volaris,A320ceo,Latin America & Caribbean
Spain,Vueling,A320ceo,Europe
Hungary,Wizz Air,A320ceo,Europe
Yemen,Yemenia,A320ceo,Middle East
Colombia,Aces Colombia,A320,Latin America & Caribbean
Slovenia,Adria Airways,A320,Europe
Greece,Aegean Airlines,A320,Europe
Netherlands,Aercap,A320,Europe
Ireland,Aerdragon Aviation Partners,A320,Europe
Ireland,Aer Lingus,A320,Europe
Russian Federation,Aeroflot Russian Airlines,A320,Europe
"Korea, Republic Of",Aero K,A320,Asia-Pacific
Germany,Aero Lloyd,A320,Europe
United Arab Emirates,Aerospace Trading Holding Limited,A320,Middle East
Singapore,Aerostar Leasing,A320,Asia-Pacific
Ireland,Aerventure,A320,Europe
Libya,Afriqiyah Airways,A320,Africa
United Arab Emirates,Air Arabia,A320,Middle East
Malaysia,Airasia,A320,Asia-Pacific
Kazakhstan,Air Astana,A320,Europe
Germany,Air Berlin,A320,Europe
Pakistan,Airblue,A320,Asia-Pacific
Egypt,Air Cairo,A320,Africa
New Caledonia,Aircalin,A320,Asia-Pacific
Canada,Air Canada,A320,North America
China,Air China,A320,Asia-Pacific
China,Air China Zhejiang Company,A320,Asia-Pacific
Cã”Te D'Ivoire,Air Cote D'Ivoire,A320,Africa
Ireland,Aircraft Purchase Fleet,A320,Europe
India,Air Deccan,A320,Asia-Pacific
France,Air France,A320,Europe
France,Air Inter,A320,Europe
Jamaica,Air Jamaica,A320,Latin America & Caribbean
United States,Air Lease Corporation,A320,North America
Malta,Air Malta,A320,Europe
New Zealand,Air New Zealand,A320,Asia-Pacific
Italy,Air One,A320,Europe
Kuwait,Alafco,A320,Middle East
Italy,Alitalia,A320,Europe
United States,Allegiant Air,A320,North America
Japan,All Nippon Airways,A320,Asia-Pacific
Switzerland,Alphastream,A320,Europe
Kuwait,Al Sahaab Aircraft Leasing,A320,Middle East
United States,America West Airlines,A320,North America
Australia,Ansett Australia Ltd,A320,Asia-Pacific
"Korea, Republic Of",Asiana Airlines,A320,Asia-Pacific
Philippines,Asiawide,A320,Asia-Pacific
Faroe Islands,Atlantic Airways,A320,Europe
Austria,Austrian Airlines,A320,Europe
Colombia,Avianca,A320,Latin America & Caribbean
El Salvador,Avianca El Salvador,A320,Latin America & Caribbean
United Kingdom,Avianca Group International Limited,A320,Europe
United States,Aviation Capital Group,A320,North America
Ireland,Avolon,A320,Europe
Ireland,Awas,A320,Europe
Australia,Bbam Aircraft Management Lp,A320,Asia-Pacific
China,Beijing Capital Airlines,A320,Asia-Pacific
United Kingdom,Bmi,A320,Europe
Singapore,Boc Aviation,A320,Asia-Pacific
China,Bocomm Leasing,A320,Asia-Pacific
United States,Boullioun,A320,North America
United Kingdom,British Airways,A320,Europe
China,Calc,A320,Asia-Pacific
Canada,Canadian Airlines International,A320,North America
Hong Kong,Cathay Dragon,A320,Asia-Pacific
China,Cdb Leasing,A320,Asia-Pacific
Philippines,Cebu Pacific,A320,Asia-Pacific
China,Chengdu Airlines,A320,Asia-Pacific
China,China Eastern Airlines,A320,Asia-Pacific
China,China Eastern Xibei Airlines,A320,Asia-Pacific
China,China Express Airlines (Huaxia Airlines),A320,Asia-Pacific
China,China Southern Airlines,A320,Asia-Pacific
Ireland,Cit Leasing,A320,Europe
Germany,Condor Berlin,A320,Europe
Croatia,Croatia Airlines,A320,Europe
Czech Republic,Csa - Czech Airlines,A320,Europe
Cyprus,Cyprus Airways Old,A320,Europe
United Kingdom,Easyjet,A320,Europe
Switzerland,Edelweiss Air,A320,Europe
Egypt,Egyptair,A320,Africa
United Arab Emirates,Etihad Airways,A320,Middle East
Finland,Finnair,A320,Europe
United Kingdom,First Choice Airways,A320,Europe
Switzerland,Flightlease,A320,Europe
United States,Frontier Airlines,A320,North America
Indonesia,Garuda Indonesia,A320,Asia-Pacific
Switzerland,Gatx Flightlease,A320,Europe
United Kingdom,Gb Airways,A320,Europe
Singapore,Global Aircraft Trading,A320,Asia-Pacific
India,Go First,A320,Asia-Pacific
Ireland,Gpa Airbus Ltd,A320,Europe
Bahamas,Grupo Taca,A320,Latin America & Caribbean
Bahrain,Gulf Air,A320,Middle East
China,Hainan Airlines,A320,Asia-Pacific
Hong Kong,Hong Kong Airlines,A320,Asia-Pacific
Spain,Iberia,A320,Europe
China,Icbc,A320,Asia-Pacific
United States,Ilfc,A320,North America
India,Indigo,A320,Asia-Pacific
Mexico,Interjet,A320,Latin America & Caribbean
United Arab Emirates,International Airfinancecorporation,A320,Middle East
United Arab Emirates,International Aviation Investments Trading L,A320,Middle East
Israel,Israir,A320,Middle East
United States,Jackson Square Aviation,A320,North America
Kuwait,Jazeera Airways,A320,Middle East
United States,Jetblue Airways,A320,North America
Chile,Jetsmart,A320,Latin America & Caribbean
China,Juneyao Airlines,A320,Asia-Pacific
Japan,Kawasaki Leasing International,A320,Asia-Pacific
India,Kingfisher Airlines,A320,Asia-Pacific
Kuwait,Kuwait Airways,A320,Middle East
Lao People'S Democratic Republic,Lao Airlines,A320,Asia-Pacific
Brazil,Latam Airlines Brasil,A320,Latin America & Caribbean
Chile,Latam Airlines Group,A320,Latin America & Caribbean
Libya,Libyan Airlines,A320,Africa
